tconst,title_type,primary_title,alternate_title,is_adult,start_year,end_year,run_time_minutes,genres
tt0088485,tvSeries,Masterpiece Theatre: Bleak House,Bleak House,0,1985,1985,391,"Crime,Drama"
tt0088514,tvMiniSeries,Evergreen,Evergreen,0,1985,1985,360,"Drama,Family,Romance"
tt0088531,tvSeries,Happy Families,Happy Families,0,1985,1985,35,Comedy
tt0088545,tvMiniSeries,The Secret of the Black Dragon,Jenseits der Morgenröte,0,1985,1985,100,Adventure
tt0088553,tvSeries,Lime Street,Lime Street,0,1985,1986,60,Drama
tt0088605,tvSeries,The Secret Servant,The Secret Servant,0,1984,1984,60,"Drama,Thriller"
tt0088825,tvEpisode,Blood Hunt,Blood Hunt,0,1986,,,Drama
tt0088846,movie,Brazil,Brazil,0,1985,,132,"Drama,Sci-Fi,Thriller"
tt0089008,tvMiniSeries,Deceptions,Deceptions,0,1985,,181,"Drama,Mystery,Romance"
tt0089034,movie,The Doctor and the Devils,The Doctor and the Devils,0,1985,,93,"Crime,Drama,History"
tt0089161,movie,Forbidden,Forbidden,0,1984,,114,"Drama,Romance,War"
tt0089291,tvEpisode,"Honest, Decent and True","Honest, Decent and True",0,1986,,100,Drama
tt0089350,movie,Invitation to the Wedding,Invitation to the Wedding,0,1983,,90,Comedy
tt0089363,tvMovie,Jamaica Inn,Jamaica Inn,0,1983,,187,"Drama,Thriller"
tt0089570,tvEpisode,The McGuffin,The McGuffin,0,1986,,100,Drama
tt0089596,tvEpisode,Minder on the Orient Express,Minder on the Orient Express,0,1985,,106,"Comedy,Crime,Drama"
tt0089816,movie,Plenty,Plenty,0,1985,,121,Drama
tt0089944,tvEpisode,The Russian Soldier,The Russian Soldier,0,1986,,85,Drama
tt0090158,tvEpisode,This Lightning Always Strikes Twice,This Lightning Always Strikes Twice,0,1985,,60,Crime
tt0090186,movie,Too Scared to Scream,Too Scared to Scream,0,1984,,100,"Crime,Drama,Horror"
tt0090317,movie,White City,White City,0,1985,,60,"Drama,Music"
tt0090357,movie,Young Sherlock Holmes,Young Sherlock Holmes,0,1985,,109,"Adventure,Fantasy,Mystery"
tt0090431,tvMiniSeries,First Among Equals,First Among Equals,0,1986,1986,60,Drama
tt0090470,tvSeries,Lenny Henry Tonite,Lenny Henry Tonite,0,1986,1986,30,Comedy
tt0090477,tvSeries,Lovejoy,Lovejoy,0,1986,1994,50,"Comedy,Crime,Drama"
tt0090521,tvMiniSeries,The Singing Detective,The Singing Detective,0,1986,1986,70,"Drama,Musical,Mystery"
tt0090547,tvSeries,The Wizard,The Wizard,0,1986,1987,42,"Adventure,Drama"
tt0090798,movie,Caravaggio,Caravaggio,0,1986,,93,"Biography,Drama,History"
